NOTE	CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	EDITOR	JOURNAL	NUMBER	SCHOOL	URL	VOLUME	SERIES	HOWPUBLISHED
ru	booklet	EliseevZaitseva2007		{С}опоставительно-ономасиологический словарь диалектов карельского, вепсского, саамского языков	2007		Петрозаводск			Елисеев, Ю. С. and Зайцева, Н. Г.							
	article	erlewine2016	Erlewine, M. Y.	{A}nti-locality and optimality in {K}aqchikel {A}gent {F}ocus	2016			429--479			Natural Language & Linguistic Theory	2			34		
	inproceedings	Escolano2023	Escolano, C. and Barruе, C. and Picas, J. and Alenyа, G.	{S}tudying the performance of automatic speech recognition systems on older adults	2023			10323--10329	2023 {I}{E}{E}{E} {I}nternational {C}onference on {R}obotics and {A}utomation ({I}{C}{R}{A})					doi:10.1109/ICRA.2023.10124187			
	book	Faircough1993	Fairclough, N.	{D}iscourse and social change	1993	Polity Press											
	book	Faircough2010	Fairclough, N.	{C}ritical {D}iscourse {A}nalysis: {T}he {C}ritical {S}tudy of {L}anguage. 2nd ed.	2010	Routledge	London										
	phdthesis	Faller2002	Faller, M.	{S}emantics and {P}ragmatics of {E}videntials in {C}uzco {Q}uechua	2002								Stanford University				
	article	FarkasBruce2010	Farkas, D. F. and Bruce, K. B.	{O}n {R}eacting to {A}ssertions and {P}olar {Q}uestions	2010			81--118			Journal of Semantics				27		
	article	Feng2023	Feng, S. and Halpern, B. and Kudina, O. and Scharenborg, O.	{T}owards inclusive automatic speech recognition	2023			101495			Comput Speech Lang						
	incollection	Fernandez2017	Fernández-Pena, Y.	{E}xploring the patterns of verbal agreement of collective noun-headed subjects in a parsed corpus of {P}resent-{D}ay {E}nglish	2017			325--334	{E}{P}i{C} {S}eries in {L}anguage and {L}inguistics	Vargas-Sierra, C.		2					
	article	Fernandez2022	Fernández-Pena, Y.	{M}odelling verb number agreement variation with complex collective subjects in inner-circle varieties of {E}nglish	2022	Peter Lang		125--153	{P}erspectives on contemporary {E}nglish: {S}tructure, variation, cognition	Krug, M. and Werner, V. and Schützler, O. and Vetter, F.							
	article	fieldsetal2021	Fields, C. and Glazebrook, J. F and Levin, M.	{M}inimal physicalism as a scale-free substrate for cognition and consciousness	2021	Oxford University Press		niab013			Neuroscience of Consciousness	2			2021		
	incollection	francois2008	François, A.	{S}emantic maps and the typology of colexification: {I}ntertwining polysemous networks across languages	2008	John Benjamins Publishing Company	Amsterdam/Philadephia	163--215	{F}rom {P}olysemy to {S}emantic {C}hange: {T}owards a {T}ypology of {L}exical {S}emantic {A}ssociations	Vanhove, Martine						Studies in Language Companion Series	
	book	frege1964	Frege, G.	{T}he {B}asic {L}aws of {A}rithmetic	1964	University of California Press	Berkeley										
	article	friston2009	Friston, K.	{T}he free-energy principle: a rough guide to the brain?	2009	Elsevier		293--301			Trends in cognitive sciences	7			13		
	article	friston2010	Friston, K.	{T}he free-energy principle: a unified brain theory?	2010	Nature publishing group		127--138			Nature reviews neuroscience	2			11		
	article	fristonetal2016	Friston, K. and FitzGerald, T. and Rigoli, F. and Schwartenbeck, P. and Pezzulo, G.	{A}ctive inference and learning	2016	Elsevier		862--879			Neuroscience & Biobehavioral Reviews				68		
	article	Fuertes2001	Fuertes-Olivera, P. A. and Velasco-Sacristán, M. and Arribas-Baño, A. and Samaniego-Fernández, E.	{P}ersuasion and {A}dvertising {E}nglish: {M}etadiscourse in {S}logans and {H}eadlines	2001			1291--1307			Journal of Pragmatics	33(8)					
	book	ganieva2002	Ganieva, F.A.	{X}inalugsko-russkij slovarʹ [{K}hinalug-{R}ussian dictionary]	2002	DNC RAN	Makhachkala										
	article	Gao2016	Gao, X.	{A} cross-disciplinary corpus-based study on {E}nglish and {C}hinese native speakers' use of linking adverbials in academic writing	2016			14--28			Journal of English for Academic Purposes	24					
	article	Garassino2024	Garassino, D. and Masia, V. and Brocca, N. and Delorme, Benites A.	{P}oliticians vs {C}hat{G}{P}{T}: {A} {S}tudy of {P}resuppositions in {F}rench and {I}talian {P}olitical {C}ommunication	2024						AI-Linguistica	1(1)					
	article	garnham2015	Garnham, A. and Yakovlev, Y.	{T}he interaction of morphological and stereotypical gender information in {R}ussian	2015						Frontiers on Psychology	6					
	phdthesis	Garrett2001	Garrett, E. J.	{E}videntiality and {A}ssertion in {T}ibetan	2001								UCLA				
ru	book	Gasparov1984	Гаспаров, М. Л.	{О}черк истории русского стиха: {М}етрика, ритмика, рифма, строфика	1984	Наука	Москва										
	article	gehrkelekakou2013	Gehrke, B. and Lekakou, M.	{H}ow to miss your preposition	2013			92--106			Studies in Greek Linguistics			https://www.academia.edu/2092553/How_to_miss_your_preposition_with_Marika_Lekakou_	33		
	phdthesis	gerasimova2023	Герасимова, А. А.	{К}оличественные методы исследования грамматических ограничений (на материале вариативного согласования в русском языке)	2023		Москва						Московский государственный университет				
	article	Gerdes2021	Gerdes, K. and Sylvain, K. and Xinying, C.	{T}ypometrics: {F}rom {I}mplicational to {Q}uantitative {U}niversals in {W}ord {O}rder {T}ypology	2021			1--31			Glossa: a journal of general linguistics	6(1)					
	article	ginsborg2012	Ginsborg, H.	{N}ormativity of {M}eaning	2012	Oxford University Press		127--146			Proceedings of the Aristotelian Society. Supplementary Volume				86		
	article	Giora2015	Giora, R. and Givoni, S. and Fein, O.	{D}efaultness {R}eigns: {T}he {C}ase of {S}arcasm	2015			290--313			Metaphor & Symbol	30(4)					
	incollection	givon1983	Givón, T.	{T}opic continuity in discourse: {T}he functional domain of switch-reference	1983	John Benjamins Publishing Company	Amsterdam	51--82	{S}witch reference and universal grammar	Haiman, J. and Munro, P.				doi:10.1075/tsl.2.06giv	2		
	article	goldbergsuttle2010	Goldberg, A. and Suttle, L.	{C}onstruction grammar	2010			468--477			WIREs Cognitive Science	4			1		
ru	misc	golubeva2020	Голубева, М. И.	{С}интаксис лексических реципроков в русском языке	2020	Российский государственный гуманитарный университет	Москва										Выпускная квалификационная работа, Российский государственный гуманитарный университет
ru	mathesis	golubeva2022	Голубева, М. И.	{С}интаксические и семантические свойства русского взаимного местоимения друг друга	2022	Национальный исследовательский университет «Высшая школа экономики»	Москва										
	article	Gong2024	Gong, Z. and Liu, Y. and Liu, Y.	{A} comparative study of research questions written by {L}1 {E}nglish authors and {C}hinese {E}{F}{L} scholars	2024			101383			Journal of English for Academic Purposes	69					
	incollection	GrangerPaquot2010	Granger, S. and Paquot, M.	{C}ustomising a general {E}{A}{P} dictionary to meet learner needs	2010	Presses universitaires de Louvain	Louvain	87--96	{L}exicography in the 21st century: {N}ew challenges, new applications. {P}roceedings of {E}{L}{E}{X}2009	Granger, S. and Paquot, M.							
	article	GrangerPaquot2015	Granger, S. and Paquot, M.	{E}lectronic lexicography goes local: {D}esign and structures of a needs-driven online academic writing aid	2015			118--141			Lexicographica	31(1)					
ru	book	graudinashiryayev2004	Граудина, Л. К. and Ширяев, Е. Н	{К}ультура русской речи: учебник для студентов высших учебных заведений	2008	Норма	М.										
	book	graudinashiryayev2004	Граудина, Л. К. and Ширяев, Е. Н	{К}ультура русской речи: учебник для студентов высших учебных заведений	2008	Норма	М.										
	incollection	Grice1975	Grice, P. H.	{L}ogic and {C}onversation	1975	Academic Press	New York	43--58	{S}peech {A}cts	Cole, P. and Morgan, J. L.					3	Syntax and Semantics	
	book	Grieve2023	Grieve, J. and Woodfield, H.	{T}he {L}anguage of {F}ake {N}ews. {E}lements in {F}orensic {L}inguistics	2023	Cambridge University Press	Cambridge										
	incollection	gronn2016	Grønn, A. and von Stechow, A.	{T}ense	2016	Cambridge University Press		313--341	{T}he {C}ambridge {H}andbook of {F}ormal {S}emantics	Aloni, M. and Dekker, P.							
	incollection	gronn2020	Grønn, A. and von Stechow, A.	{T}he {P}erfect	2020	John Wiley & Sons			{T}he {W}iley {B}lackwell {C}ompanion to {S}emantics	Gutzmann, D. and Matthewson, L. and Meier, C. and Rullmann, H. and Zimmermann, T.							
	book	gusev2013	Gusev, V.Ju.	{T}ipologija imperativa [{T}ypology of the imperative]	2013	Jazyki slavjanskoj kulʹtury	Moscow										
	article	Haack2005	Haack, S.	{N}ot cynicism, but synechism: {L}essons from classical pragmatism	2005			239--253			Trans. Charles S Peirce Soc. : A Quarterly Journal in American Philosophy	2			41		
	article	Harris2009	Harris, K. C. and Dubno, J. R. and Keren, N. I. and Ahlstrom, J. B. and Eckert, M. A.	{S}peech recognition in younger and older adults	2009			658--667			J Am Acad Audiol	10		https://pmc.ncbi.nlm.nih.gov/articles/PMC2717741/	20		
	incollection	helmbrecht2006	Helmbrecht, J.	{A}re there adjectives in {H}ocąk ({W}innebago)?	2006	Peter Lang International Academic Publishers	Bern	289--316	{L}exical categories and root classes in {A}merindian languages	Lois, X. and Vapnarsky, V.							
	incollection	Hooper1975	Hooper, J. B.	{O}n assertive predicates	1975	BRILL	Leiden; Boston	91--124	{S}yntax and {S}emantics	Kimball, J. P.					4	Syntax and Semantics	
	inproceedings	Hu2004	Hu, M. and Liu, B.	{M}ining opinion features in customer reviews	2004			755--760	{P}roceedings of {A}{A}{A}{I} {C}onference on {A}rtificial {I}ntelligence						4		
	article	HuLiu2004	Hu, M. and Liu, B.	{M}ining opinion features in customer reviews	2004			755--760	{P}roceedings of {A}{A}{A}{I} {C}onference on {A}rtificial {I}ntelligence						4		
	article	Hyland2005	Hyland, K.	{S}tance and engagement: {A} model of interaction in academic discourse	2005			173--192			Discourse Studies	7(2)					
	article	Hyland2008	Hyland, K.	{M}etadiscourse: {E}xploring interaction in writing	2008						Continuum						
	article	Hyland2021	Hyland, K. and Jiang, F.	‘{O}ur striking results demonstrate …’: {P}ersuasion and the growth of academic hype	2021			189--202			Journal of Pragmatics	182					
	incollection	iatridou2001	Iatridou, S. and Anagnostopoulou, E. and Izvorski, R.	{O}bservations about the {F}orm and {M}eaning of the {P}erfect	2001	MIT Press	Cambridge, MA	189--238	{K}en {H}ale: {A} {L}ife in {L}anguage	Kenstowicz, M.							
ru	article	ivanchikova1968	Иванчикова, Е. А.	{П}арцелляция, ее коммуникативно-экспрессивные и синтаксические функции	1968	Наука	М.	277--301			Русский язык и советское общество: Морфология и синтаксис современного русского литературного языка						
	article	ivanchikova1968	Иванчикова, Е. А.	{П}арцелляция, ее коммуникативно-экспрессивные и синтаксические функции	1968	Наука	М.	277--301			Русский язык и советское общество: Морфология и синтаксис современного русского литературного языка						
	inproceedings	Izvorski1997	Izvorski, R.	{T}he present perfect as an epistemic modal	1997	Linguistic Society of America	Ithaca, NY	222--239	{P}roceedings of {S}emantics and {L}inguistic {T}heory 7	Lawson, A.					7	Proceedings of Semantics and Linguistic Theory	
	book	Jackendoff1972	Jackendoff, R. S.	{S}emantic {I}nterpretation in {G}enerative {G}rammar	1972	MIT Press	Cambridge, Mass.										
	article	jandaetal2023	Janda, L. A. and Endresen, A. and Zhukova, V. and Mordashova, D. and Rakhilina, E.	{F}rom data to theory: {A}n emergent semantic classification based on the large-scale {R}ussian constructicon	2023	John Benjamins Publishing Company Amsterdam/Philadelphia		1--58			Constructions and Frames	1			15		
	book	Jewett2006	Jowett, G. and O’Donnell, V.	{P}ropaganda and {P}ersuasion	2006	Sage	Thousand Oaks										
	incollection	johanson1998	Johanson, L.	{T}he structure of {T}urkic	1998	Routledge		30--66	{T}he {T}urkic languages	Johanson, L. and Csató, É. Á.							
	article	jolliffefarrington2006	Jolliffe, D. and Farrington, D. P.	{D}evelopment and validation of the {B}asic {E}mpathy {S}cale	2006	Wiley	USA	589--611			{J}ournal of {A}dolescence	4			29		
	incollection	julien2015	Julien, M.	{O}n negation, tense, and participles in {F}innic and {S}ámi	2015	Oxford University Press		163--178	{S}yntax over {T}ime	Biberauer, T. and Walkden, G.							
	book	jusupov2014	Jusupov, X.A.	{D}arginsko-russkij slovarʹ (rukopisʹ) [{D}argwa-{R}ussian dictionary (manuscript)]	2014	Institut istorii, jazyka i literatury im. G. Cadasy.	Makhachkala										
ru	incollection	Kant1994	Кант, И.	{Л}огика, 1800	1994	Издательство «Чоро»	Москва	266--398	{К}ант {И}. {С}обрание сочинений в восьми томах. {Т}ом 8.	Гулыга, А.В.							
ru	book	karamshoev1963	Карамшоев, Д. К.	{Б}аджувский диалект шугнанского языка	1963	Академия наук Таджикской ССР	Душанбе										
ru	book	karamshoev1986	Карамшоев, Д. К.	{К}атегория рода в памирских языках (шугнано-рушанская группа)	1986	Дониш	Душанбе								2		
ru	book	karamshoev1988	Карамшоев, Д. К.	{Ш}угнанско-русский словарь в трёх томах. {А}—{З}	1988	Наука	М.								1		
ru	phdthesis	karkoshko2011	Каркошко, О. П.	{П}арцелляция: структура, семантика, функция: на материале русского и немецкого языков: автореферат дис. ... кандидата филологических наук	2011		Майкоп										
	phdthesis	karkoshko2011	Каркошко, О. П.	{П}арцелляция: структура, семантика, функция: на материале русского и немецкого языков: автореферат дис. ... кандидата филологических наук	2011		Майкоп										
ru	article	Karpov2012	Карпов, А.А. and Кипяткова, И.С.	{М}етодология оценивания работы систем автоматического распознавания речи	2012			38--43			Известия высших учебных заведений. Приборостроение	11			55		
ru	article	KarpovKipyatkova2012	Карпов, А.А. and Кипяткова, И.С.	{М}етодология оценивания работы систем автоматического распознавания речи	2012			38--43			Известия высших учебных заведений. Приборостроение	11			55		
	book	kazenin2013	Казенин, К. И.	{С}интаксис современного лакского языка	2013	ИЯЛИ им. Г. Цадасы ДНЦ РАН; Алеф	Махачкала										
ru	article	kazkenova2026	Казкенова, А.К.	{Г}лаголы семантического поля 'менять' в казахском языке	2026			in print			Acta Linguistica Petropolitana. Труды Института лингвистических исследований	1					
	phdthesis	keshet2008	Keshet, E. R.	{G}ood intensions: {P}aving two roads to a theory of the de re/de dicto distinction	2008		Cambridge, MA						Massachusetts Institute of Technology				
	article	keshet2010	Keshet, E.	{S}ituation economy	2010			385--434			Natural Language Semantics	4		https://doi.org/10.1007/s11050-010-9059-1	18		
	misc	kholodilova2015	Kholodilova, M.	({I})nter-clausal negative concord in {R}ussian	2015												Poster presented at The pragmatics of grammar: Negation and polarity. Caen
	inproceeding	khomchenkovaetal2018	Khomchenkova, I. and Pleshak, P. and Stoynova, N.	{G}ender disagreement in the contactinfluenced {R}ussian of {N}orthern {S}iberia and {R}ussian {F}ar {E}ast	2018			14--15	{T}heoretical and {E}xperimental {A}pproaches to {G}ender								
	inproceedings	Khudyakova2016	Khudyakova, M. and Bergelson, M. and Akinina, Y. and Iskra, E. and Toldova, S. and Dragoy, O.	{R}ussian {C}li{P}{S}: a corpus of narratives by brain-damaged individuals	2016		Saarbruecken	22--26	{R}a{P}{I}{D}-2016								
	article	kibrik1997	Кибрик, А.А.	{М}оделирование многофакторного процесса: выбор референциального средства в русском дискурсе	1997			94--105			Вестник Московского университета	4					
	inproceedings	kibrik1999	Kibrik, A.A.	{C}ognitive inferences from discourse observations: {R}eference and working memory	1999	Benjamins	Amsterdam	29--52	{D}iscourse studies in cognitive linguistics. {P}roceedings of the 5th {I}nternational cognitive linguistics conference	van Hoek, K. and Kibrik, A.A. and Noordman, L.							
ru	book	kibrik2001	Кибрик, А. Е.	{Б}агвалинский язык: грамматика, тексты, словари	2001	ИМЛИ РАН Наследие	Москва										
	book	kibrik2011	Kibrik, A.	{R}eference in {D}iscourse	2011	Oxford University Press	Oxford							doi:10.1093/acprof:oso/9780199215805.001.0001			
ru	book	kibrikpodlesskaya2009	Кибрик, А. А. and Подлесская, В. И.	{Р}ассказы о сновидениях: корпусное исследование устного русского дискурса	2009	ЯСК	М.										
	book	kibrikpodlesskaya2009	Кибрик, А. А. and Подлесская, В. И.	{Р}ассказы о сновидениях: корпусное исследование устного русского дискурса	2009	ЯСК	М.										
ru	incollection	Kirina2024	Кирина, М.А. and Лукьянчикова, А.С.	{Г}олос эпохи: лингвостатистические показатели прямой речи в русском рассказе {X}{X} века	2024			69--73	{В}осьмая {К}алининградская школа по гуманитарной информатике. {С}борник докладов. {К}алининград, 12--14 декабря 2024 года								
ru	article	KirinaLukianchikova2024	Кирина, М.А. and Лукьянчикова, А.С.	{Г}олос эпохи: лингвостатистические показатели прямой речи в русском рассказе {X}{X} века	2024	Балтийский федеральный университет им. И. Канта	Калининград	69--73	{В}осьмая {К}алининградская школа по гуманитарной информатике. {С}борник докладов. {К}алининград, 12–14 декабря 2024 года								
	book	klein1994	Klein, W.	{T}ime in {L}anguage	1994	Routledge	London										
	article	Kodera2020	Kodera, M.	{A}n {O}verview of the {C}ount/{N}oncount {D}istinction of {E}nglish {N}ouns	2020			23--51			阪南論集. 人文・自然科学編	55(2)					
	article	Koev2017	Koev, T.	{E}videntiality, {L}earning {E}vents, and {S}patiotemporal {D}istance: {T}he {V}iew from {B}ulgarian	2017			1--41			Journal of Semantics	1			34		
	article	Koev2021	Koev, T.	{G}radient {A}t-issueness vs. {U}ncertainty about {B}inary {A}t-issueness	2021			130--140			Theoretical Linguistics				44		
ru	article	Kolmogorova2024	Колмогорова, А.В. and Колмогорова, П.А. and Куликова, Е.Р.	{О} прошлом, но в разное время: компьютерный анализ текстов учебников по истории {С}{С}{С}{Р} / {Р}оссии для шести поколений студентов	2024			73--103			Вестник Томского государственного университета. Филология	89		DOI:10.17223/19986645/89/4			
ru	incollection	Kolmogorova2024a	Колмогорова, А.В. and Соловьева, М.В.	{М}етодика упрощения текстов по критерию когнитивной трудности для пациентов с афазией	2024			185--186	{Д}есятая международная конференция по когнитивной науке: тез. докл. ({П}ятигорск, 26--30 июня 2024 г.). {Ч}. {I}{I}	Киреев, М.В.							
	article	Kolmogorova2025	Anastasia V. Kolmogorova and Polina A. Nalobina	{C}onceptualizing the {S}pace: {H}ow {N}atural and {A}rtificial {C}ognitive {A}gents {U}se {T}opological {S}emantics {S}chemes ({B}ased on {D}escriptions of {P}aintings {F}rom the {H}ermitage {C}ollection)	2025			170--197			Epistemology and Philosophy of Science	1			62		
ru	article	KolmogorovaEtAl2024	Колмогорова, А.В. and Колмогорова, П.А. and Куликова, Е.Р.	{О} прошлом, но в разное время: компьютерный анализ текстов учебников по истории {С}{С}{С}{Р}/ {Р}оссии для шести поколений студентов	2024			73--103			Вестник Томского государственного университета. Филология	89					
	article	KopeckaVuillermet2021	Kopecka, A. and Vuillermet, M.	{S}ource-{G}oal (a)symmetries across languages	2021			2--35			Studies in Language	1			45		
	article	kosakinetal2024	Kosakin, D. and Obiedkov, S. and Smirnov, I. and Rakhilina, E. and Vyrenkova, A. and Zalivina, E.	{T}owards {E}rror-{C}ause {A}nnotation for {L}2 {R}ussian	2024	ELRA and ICCL	Torino, Italy	14240--14258	{P}roceedings of the 2024 {J}oint {I}nternational {C}onference on {C}omputational {L}inguistics, {L}anguage {R}esources and {E}valuation ({L}{R}{E}{C}-{C}{O}{L}{I}{N}{G} 2024)	Calzolari, N. and Kan, M.-Y. and Hoste, V. and Lenci, A. and Sakti, S. and Xue, N.							
	article	Koteyko2015	Koteyko, I.	{T}he {L}anguage of {P}ress {A}dvertising in the {U}{K}: {A} {M}ulti-dimensional {S}tudy	2015			259--283			Journal of English Linguistics	43(4)					
ru	article	Krylova2023	Крылова, К.	{Р}ынок удобных животных	2023	НЛО	Москва	408									
ru	book	Krylova2023	Крылова, К.	{Р}ынок удобных животных	2023	НЛО	Москва	408									
	article	Kuiken2017	Kuiken, J. and Schuth, A. and Spitters, M. and Marx, M.	{E}ffective {H}eadlines of {N}ewspaper {A}rticles in a {D}igital {E}nvironment	2017			1300--1314			Digital Journalism	5(10)					
	article	kusumoto2005	Kusumoto, K.	{O}n the {Q}uantification over {T}imes in {N}atural {L}anguage	2005			317--357			Natural Language Semantics	4		https://doi.org/10.1007/s11050-005-4537-6	13		
ru	misc	kuvshinskaya2023	Кувшинская, Ю. М.	{П}редложения с союзом «потому что» как независимые высказывания в современном устном дискурсе. {Д}оклад, представленный на {V}{I}{I} {М}еждународном научном симпозиуме «{Р}усская грамматика: константы, контексты, перспективы». {Т}юмень, 10-14 октября 2023 г.	2023												
	misc	kuvshinskaya2023	Кувшинская, Ю. М.	{П}редложения с союзом «потому что» как независимые высказывания в современном устном дискурсе. {Д}оклад, представленный на {V}{I}{I} {М}еждународном научном симпозиуме «{Р}усская грамматика: константы, контексты, перспективы». {Т}юмень, 10-14 октября 2023 г.	2023												
ru	article	kuvshinskaya2024	Кувшинская, Ю. М.	{У}потребление неопределенных местоимений серии на -либо в контексте прямого отрицания	2024			150--174			Труды ИРЯ РАН	2			40		
	article	kuvshinskaya2024	Кувшинская, Ю. М.	{У}потребление неопределенных местоимений серии на -либо в контексте прямого отрицания	2024			150--174			Труды ИРЯ РАН	2			40		
ru	article	kuvshinskayaaksenova2021	Кувшинская, Ю. М. and Аксенова, А. А.	{С}овременные тенденции в употреблении коннектора то есть	2021		Берлин	341--357			Русская грамматика: Cистема – узус – варьирование						
	article	kuvshinskayaaksenova2021	Кувшинская, Ю. М. and Аксенова, А. А.	{С}овременные тенденции в употреблении коннектора то есть	2021		Берлин	341--357			Русская грамматика: Cистема – узус – варьирование						
ru	article	kuzmina1989	Кузьмина, С. М.	{С}емантика и стилистика неопределенных местоимений	1989	Наука	М.	158--231			Грамматические исследования: функционально-стилистический аспект						
	article	kuzmina1989	Кузьмина, С. М.	{С}емантика и стилистика неопределенных местоимений	1989	Наука	М.	158--231			Грамматические исследования: функционально-стилистический аспект						
ru	book	Ladov2008	Ладов, В. А.	{И}ллюзия значения: {П}роблема следования правилу в аналитической философии	2008	Изд-во Томcкого университета	Томск										
ru	article	Ladov2024	Ладов, В. А.	{З}начение: реализм vs скептицизм	2024			43--50			Эпистемология и философия науки	2			61		
	article	lagasselevin2023	Lagasse, E. and Levin, M.	{F}uture medicine: from molecular pathways to the collective intelligence of the body	2023	Elsevier		687--710			Trends in molecular medicine	9			29		
	book	Lakoff1980	Lakoff, G. and Johnson, M.	{M}etaphors {W}e {L}ive by	1980	University of Chicago Press	Chicago										
	incollection	Lakoff1982	Lakoff, R.	{P}ersuasive {D}iscourse and {O}rdinary {C}onversation, with {E}xamples from {A}dvertising	1982	Georgetown University Press	Washington	25--42	{A}nalyzing {D}iscourse: {T}ext and {T}alk	Tannen, D.							
ru	article	Laletina2007	Лалетина, А.О.	«{Г}ороскоп» как гендерно-маркированный медиажанр	2007			288--294	{Ж}анры и типы текста в научном и медийном дискурсе								
ru	incollection	Laletina2007	Лалетина, А.О.	{Г}ороскоп как гендерно-маркированный медиажанр	2007			288--294	{Ж}анры и типы текста в научном и медийном дискурсе								
ru	article	lapshinaetal2024	Лапшина, К.М. and Копылова, Е.В. and Матюхина, Е.П.	{С}емантическое поле 'менять' в финском языке	2024			22--41			Урало-алтайские исследования	1			52		
	article	Latif2021	Latif, S. and Qadir, J. and Qayyum, A. and Usama, M. and Younis, S.	{S}peech technology for healthcare: opportunities, challenges, and state of the art	2021			342--356			IEEE Rev Biomed Eng						
	book	lehrer1974	Lehrer, A.	{S}emantic fields and lexical structure	1974	North-Holland	Amsterdam	225									
	incollection	Leinonen2000	Leinonen, M.	{E}videntiality in {K}omi {Z}yryan	2000	De Gruyter Mouton	Berlin, Boston	419--440	{E}videntials: {T}urkic, {I}ranian and {N}eighbouring {L}anguages	Johanson, L. and Utas, B.							
ru	article	LeinonenTsypanov2007	Лейнонен, М. and Цыпанов, Е.А.	{Г}рамматическая семантика эвиденциальности в коми языке (на материале модального перфекта)	2009			23--35			Linguistica uralica				XLV		
	article	LeinonenVilkuna2008	Leinonen, M. and Vilkuna, M.	{P}ast tenses in {P}ermic languages	2008			495--514			Tense and Aspect in the Languages of Europe						
ru	book	letuchiy2024	Летучий, А. Б.	{Р}усский синтаксис: структурные и неструктурные объяснения: учеб. пособие	2024	Издательский дом Высшей школы экономики	Москва	416									
ru	article	letuchiydzhonova2022	Летучий, А. Б. and Джонова, М.	{С}пособы оформления одушевленного участника при предикативах в русском и болгарском языках	2022			26--46			Русская речь						
	article	letuchiydzhonova2022	Летучий, А. Б. and Джонова, М.	{С}пособы оформления одушевленного участника при предикативах в русском и болгарском языках	2022			26--46			Русская речь						
	book	Levin2001	Levin, M.	{A}greement with collective nouns in {E}nglish	2001	Lund University	Lund										
	article	levin2019	Levin, M.	{T}he computational boundary of a “self”: developmental bioelectricity drives multicellularity and scale-free cognition	2019	Frontiers Media SA		2688			Frontiers in psychology				10		
	article	levin2021	Levin, M.	{L}ife, death, and self: {F}undamental questions of primitive cognition viewed through the lens of body plasticity and synthetic organisms	2021	Elsevier		114--133			Biochemical and Biophysical Research Communications				564		
	article	levin2022	Levin, M.	{T}echnological approach to mind everywhere: an experimentally-grounded framework for understanding diverse bodies and minds	2022	Frontiers Media SA		768201			Frontiers in systems neuroscience				16		
	misc	levinetal2021	Levin, M. and Keijzer, F. and Lyon, P. and Arendt, D.	{U}ncovering cognitive similarities and differences, conservation and innovation	2021	The Royal Society		20200458			Philosophical Transactions of the Royal Society B	1821			376		
	article	levinmartinez2019	Levin, M. and Martinez Arias, A.	{R}everse-engineering growth and form in {H}eidelberg	2019	The Company of Biologists Ltd		dev177261			Development	14			146		
	book	levshina2015	Levshina, N.	{H}ow to do linguistics with {R}	2015	John Benjamins								https://doi.org/10.1075/z.195.website			
	inproceedings	Lin2004	Lin, C.-Y.	{R}{O}{U}{G}{E}: {A} {P}ackage for {A}utomatic {E}valuation of {S}ummaries	2004	Association for Computational Linguistics	Barcelona, Spain	74--81	{T}ext {S}ummarization {B}ranches {O}ut					https://aclanthology.org/W04-1013/			
	article	Lin2024	Lin, Z. and Chen, X. and Pathak, D. and Zhang, P. and Ramanan, D.	{R}evisiting the role of language priors in vision-language models	2024									arXiv:2306.01879			
	article	LinEtAl2023	Lin, Z. and Chen, X. and Pathak, D. and Zhang, P. and Ramanan, D.	{R}evisiting the {R}ole of {L}anguage {P}riors in {V}ision-{L}anguage {M}odels	2023									https://arxiv.org/abs/2306.01879			
	article	Ling2016	Ling, Y.S.C.	{T}he use of modal auxiliary verbs in horoscope: a corpus-based study	2016						Issues in Language Studies	2			5		
	article	loecherropkins2015	Loecher, M. and Ropkins, K.	{R}google{M}aps and loa: {U}nleashing {R} graphics power on map tiles	2015			1--18			Journal of Statistical Software				63		
	article	lohninger2022	Lohninger, M. and Kovaˇc, I. and Wurmbrand, S.	{F}rom prolepsis to hyperraising	2022			32			Philosophies	2			7		
	article	luebbering2013	Luebbering, C. R.	{D}isplaying the geography of language: the cartography of language maps	2013			39--67			The Linguistics Journal	1			7		
ru	incollection	Lukashevich2016	Лукашевич, Н.В. and Левчик, А.В.	{С}оздание лексикона оценочных слов русского языка {Р}у{С}ентилекс	2016			377--382	{Т}руды конференции {O}{S}{T}{I}{S}-2016								
ru	article	LukashevichLevchik2016	Лукашевич, Н.В. and Левчик, А.В.	{С}оздание лексикона оценочных слов русского языка {Р}у{С}ентилекс	2016			377--382	{Т}руды конференции {O}{S}{T}{I}{S}-2016								
ru	book	Luriya1973	Лурия, А.Р.	{О}сновы нейропсихологии	1973	Изд-во Моск. ун-та	Москва	374									
ru	book	Luriya2008	Лурия, А.Р.	{В}ысшие корковые функции человека	2008	Питер	Санкт-Петербург	431									
ru	article	lyutikova2015	Лютикова, Е. А.	{С}огласование, признаки и структура именной группы в русском языке	2015			44--74			Русский язык в научном освещении				30		
ru	article	lyutitkova2016	Лю, Ч. and Титкова, С. И	{М}ожно ли начинать предложение с потому что? ({К} вопросу об особенностях употребления и написания союза потому что)	2016			36--45			Вестник Чувашского государственного педагогического университета им. ИЯ Яковлева	2			90		
	article	lyutitkova2016	Лю, Ч. and Титкова, С. И	{М}ожно ли начинать предложение с потому что? ({К} вопросу об особенностях употребления и написания союза потому что)	2016			36--45			Вестник Чувашского государственного педагогического университета им. ИЯ Яковлева	2			90		
